id,time,type,building,address,area,price,floor,county
63,2024/01/08,分租套房,無電梯公寓,新北市淡水區水源街二段,6坪,4500,1 / 3,淡水區
64,2024/01/08,分租套房,透天厝,新北市淡水區水源街二段,7坪,4500,1 / 3,淡水區
65,2024/01/08,整層住家,電梯大樓,新北市八里區龍米路二段,39坪,23000,4 / 7,八里區
66,2024/01/08,整層住家,電梯大樓,新北市八里區龍米路二段,39坪,23000,4 / 7,八里區
67,2024/01/07,整層住家,無電梯公寓,新北市三重區中正北路,30坪,33000,2 / 5,三重區
68,2024/01/07,廠辦,,新北市樹林區保安街一段,180坪,65000,1 / ,樹林區
69,2024/01/06,獨立套房,電梯大樓,新北市深坑區北深路三段,11坪,14000,10 / 16,深坑區
70,2024/01/06,整層住家,無電梯公寓,新北市三重區六張街,25.41坪,23800,4 / 4,三重區
71,2024/01/06,整層住家,無電梯公寓,新北市板橋區中山路二段,35坪,20000,4 / 4,板橋區
72,2024/01/06,整層住家,無電梯公寓,新北市板橋區中山路二段,35坪,20000,4 / 4,板橋區
73,2024/01/05,廠辦,,新北市新莊區民安路,49.8坪,32000,2 / ,新莊區
74,2024/01/05,住辦,電梯大樓,新北市土城區中正路,51.63坪,36800,4 / 9,土城區
75,2024/01/05,店面,電梯大樓,新北市汐止區大同路一段,34坪,29900,3 / 12,汐止區
76,2024/01/04,辦公,透天厝,新北市中和區中板路,120坪,100000,2 / 2,中和區
77,2024/01/04,整層住家,電梯大樓,新北市鶯歌區尖山路,23.64坪,25000,2 / 15,鶯歌區
78,2024/01/04,整層住家,電梯大樓,新北市新莊區中正路,38.25坪,25000,9 / 10,新莊區
79,2024/01/03,整層住家,無電梯公寓,新北市板橋區忠孝路,20坪,13500,3 / 4,板橋區
80,2024/01/03,分租套房,電梯大樓,新北市新店區北新路三段,10坪,12000,3 / 7,新店區
81,2024/01/03,分租套房,無電梯公寓,新北市中和區華新街,7坪,6500,3 / 3,中和區
82,2024/01/03,分租套房,無電梯公寓,新北市新莊區民安西路,8坪,9000,5 / 4,新莊區
83,2024/01/03,整層住家,電梯大樓,新北市泰山區明志路三段,27.62坪,28000,1 / 4,泰山區
84,2024/01/02,整層住家,電梯大樓,新北市新莊區新泰路,36.81坪,30000,4 / 14,新莊區
85,2024/01/02,廠辦,,新北市樹林區俊興街,60坪,50000,1 / ,樹林區
86,2024/01/01,獨立套房,電梯大樓,新北市新莊區中港路,12.2坪,16800,6 / 7,新莊區
87,2023/12/30,整層住家,電梯大樓,新北市蘆洲區三民路,27坪,23000,2 / 8,蘆洲區
88,2023/12/30,獨立套房,電梯大樓,新北市淡水區新春街,12.58坪,12000,4 / 31,淡水區
89,2023/12/28,整層住家,電梯大樓,新北市蘆洲區中央路,29.6坪,39000,2 / 15,蘆洲區
90,2023/12/28,整層住家,電梯大樓,新北市三重區神農街,60坪,45000,33 / 35,三重區
91,2023/12/28,獨立套房,無電梯公寓,新北市三重區文化北路,4坪,5500,2 / 4,三重區
92,2023/12/28,整層住家,電梯大樓,新北市三峽區民生街,38坪,25000,13 / 13,三峽區
93,2023/12/27,辦公,電梯大樓,新北市泰山區貴鳳街,102.73坪,85000,4 / 10,泰山區
94,2023/12/27,廠辦,,新北市中和區中板路,42坪,52000,1 / ,中和區
95,2023/12/27,辦公,電梯大樓,新北市三重區興德路,199.71坪,200000,12 / 16,三重區
96,2023/12/27,廠辦,,新北市新莊區新莊區環漢路二段,110坪,80000,1 / ,新莊區
97,2023/12/27,廠辦,,新北市新莊區新莊區環漢路二段,110坪,80000,1 / ,新莊區
98,2023/12/26,整層住家,電梯大樓,新北市新店區達觀路,33坪,24350,15 / 17,新店區
99,2023/12/26,廠辦,,新北市新莊區新莊區環漢路三段,130坪,90000,1 / ,新莊區
100,2023/12/25,廠辦,,新北市三重區興德路,48.84坪,58000,12 / ,三重區
101,2023/12/25,整層住家,電梯大樓,新北市樹林區佳園路三段,18坪,21000,9 / 15,樹林區
102,2023/12/24,獨立套房,無電梯公寓,新北市汐止區和平街,8坪,9000,2 / 5,汐止區
103,2023/12/24,廠辦,,新北市新莊區中正路,55.3坪,69500,1 / ,新莊區
104,2023/12/23,整層住家,無電梯公寓,新北市新莊區中正路,28坪,18800,3 / 5,新莊區
105,2023/12/22,整層住家,電梯大樓,新北市板橋區公館街,30.36坪,55000,27 / 28,板橋區
106,2023/12/22,整層住家,電梯大樓,新北市汐止區東勢街,40.55坪,31999,3 / 18,汐止區
107,2023/12/21,分租套房,無電梯公寓,新北市永和區保平路,8坪,9000,2 / 5,永和區
108,2023/12/21,整層住家,電梯大樓,新北市八里區商港路,35坪,15000,8 / 13,八里區
109,2023/12/20,獨立套房,電梯大樓,新北市中和區中和路,7.41坪,13500,12 / 18,中和區
110,2023/12/19,整層住家,無電梯公寓,新北市新店區北新路一段,30坪,32500,3 / 4,新店區
