id,time,type,building,address,area,price,floor
114,2018/07/04,獨立套房,電梯大樓,新北市蘆洲區長安街,9.0,8500,2 / 7
115,2018/06/21,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
116,2018/03/06,獨立套房,電梯大樓,新北市蘆洲區長安街,9.0,8500,2 / 7
117,2017/12/07,獨立套房,電梯大樓,新北市蘆洲區長安街,9.0,8500,2 / 7
118,2017/11/24,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
119,2017/05/17,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
120,2017/05/17,獨立套房,無電梯公寓,新北市蘆洲區長安街,8.0,8500,5 / 5
121,2016/12/15,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
122,2016/08/14,獨立套房,無電梯公寓,新北市蘆洲區長安街,8.0,8500,5 / 5
123,2016/07/29,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
124,2016/03/18,獨立套房,無電梯公寓,新北市蘆洲區長安街,8.0,8500,5 / 5
125,2016/01/15,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
126,2015/09/27,獨立套房,無電梯公寓,新北市蘆洲區長安街,8.0,8500,5 / 5
127,2015/07/21,獨立套房,無電梯公寓,新北市蘆洲區信義路,7.0,7000,5 / 5
